NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
0.0,186.25293931664436,186.20886091517343,91.26666666666667,91.06666666666666
5000.0,33.40863806980787,33.56106219386025,42.875,43.735416666666666
10000.0,24.299959340003394,24.59410547815323,27.325,27.670833333333334
15000.0,19.871693609892795,20.454837205478853,19.833333333333332,20.689583333333335
20000.0,18.229133153961364,18.75228888811318,20.075000000000003,20.964583333333334
25000.0,17.487553104512518,18.008356906718586,17.808333333333334,18.6
30000.0,15.514696494096267,16.22112701561701,17.058333333333334,18.154166666666665
35000.0,15.450289253666295,16.144209172485986,16.833333333333332,17.777083333333334
40000.0,15.225752896173475,15.807721031883446,16.616666666666667,17.1625
45000.0,14.098929815768393,14.49675352759829,16.183333333333334,16.40833333333333
50000.0,13.297474540925446,13.853064729305103,15.433333333333332,16.302083333333332
55000.0,13.667309550552401,14.134974388109637,15.416666666666668,15.895833333333334
60000.0,13.747568886122592,14.164547295630427,15.683333333333332,16.21875
65000.0,12.974719905975963,13.573335805289188,15.541666666666668,16.28333333333333
70000.0,12.973715782122754,13.597920700627512,15.299999999999999,16.05
75000.0,13.261837550037757,13.802643296124668,15.941666666666668,16.48125
80000.0,12.915133999895726,13.321335999379198,15.916666666666668,16.504166666666666
85000.0,12.879437590771174,13.34657543348971,15.791666666666668,16.308333333333334
90000.0,12.352215395177891,12.876954084013532,15.166666666666668,15.831249999999999
95000.0,12.674278930985942,13.215564402004928,15.466666666666667,15.879166666666666
100000.0,12.502100440212697,12.970561199608365,15.033333333333335,15.752083333333333
105000.0,12.414243484764485,13.082275516085842,14.783333333333335,15.681249999999999
110000.0,12.39045370674121,12.985662549977665,14.991666666666667,15.837499999999999
115000.0,12.949585694528295,13.561052230088801,16.041666666666668,16.950000000000003
120000.0,12.113201626008859,12.599775184287163,15.008333333333335,15.63125
125000.0,12.001343062133321,12.515325013517554,14.7,15.435416666666665
130000.0,11.9515941281672,12.453850947357008,14.633333333333335,15.270833333333334
135000.0,12.362905871710549,12.924806620726525,14.866666666666667,15.697916666666668
140000.0,12.146900466658472,12.496138694426548,15.208333333333332,15.7
145000.0,12.113222014145153,12.574023193120127,14.508333333333335,14.975
150000.0,12.0105160171136,12.381846276506927,14.625,15.039583333333335
155000.0,12.582983174969383,12.810574805138705,15.258333333333333,15.472916666666666
160000.0,11.651855182341608,12.156898568751236,14.099999999999998,14.885416666666668
165000.0,11.700971697254161,12.347451674432643,13.991666666666665,15.135416666666668
170000.0,11.724082868556563,12.175542649425356,14.208333333333334,14.779166666666665
175000.0,11.485660982473247,12.050731173470808,13.883333333333333,14.702083333333333
180000.0,11.233292965461974,11.763119635355828,13.508333333333333,14.2125
185000.0,11.639653344099537,12.15357456195623,14.108333333333334,14.55625
190000.0,11.75923610118526,12.335896255002378,14.241666666666667,14.860416666666667
195000.0,11.481765894897535,11.914679682718091,14.033333333333333,14.433333333333334
0.0,196.7457857589654,196.73645382180774,88.88333333333334,88.57916666666667
5000.0,35.47530154032529,35.55018394384776,45.475,46.233333333333334
10000.0,25.68711443386757,26.052525440951683,29.849999999999998,30.933333333333334
15000.0,21.261413520963398,21.71811816837259,21.4,22.877083333333335
20000.0,19.012038993235684,19.56674078934156,18.791666666666668,20.091666666666665
25000.0,17.667080073230764,18.406547106433997,18.158333333333335,19.66875
30000.0,16.27509176592382,17.036092286699763,17.683333333333334,18.87708333333333
35000.0,15.908419285714666,16.40621883272288,17.233333333333334,17.964583333333334
40000.0,16.18124447993514,16.94258831544214,18.066666666666666,18.9375
45000.0,15.05547399299943,15.792497523505242,17.4,18.3125
50000.0,13.924778036823673,14.524550537465469,16.083333333333332,17.09583333333333
55000.0,13.328923319029759,13.811374824927222,15.35,16.077083333333334
60000.0,13.722243789510294,14.258355202590389,15.941666666666668,16.741666666666667
65000.0,14.05562090007314,14.661200890970822,16.791666666666664,17.747916666666665
70000.0,13.257761194871723,13.864129313427101,15.791666666666668,16.816666666666666
75000.0,13.742766174992708,14.444043771312945,16.066666666666666,16.989583333333332
80000.0,13.180317331742792,13.688624495950435,15.55,16.072916666666668
85000.0,12.68429745601022,13.242110691104164,14.966666666666667,15.916666666666668
90000.0,13.25089560209261,13.824884861249576,15.55,16.24791666666667
95000.0,13.191941075270918,13.736069134808442,15.541666666666668,16.445833333333333
100000.0,13.00378978145226,13.582516585986633,15.825,16.583333333333332
105000.0,12.864227380949888,13.299538342702249,15.675,16.25625
110000.0,12.148045151884688,12.664398229632798,14.575,15.156249999999998
115000.0,12.751484561228848,13.349208989332073,15.091666666666667,16.020833333333336
120000.0,12.22858914073051,12.656554733886304,14.808333333333334,15.316666666666666
125000.0,11.987708417457005,12.396755101648562,14.424999999999999,15.079166666666666
130000.0,11.87097451793203,12.391758085997077,14.783333333333335,15.579166666666666
135000.0,12.032173087566836,12.406806394521242,14.975,15.347916666666666
140000.0,11.830240358333281,12.281009748814313,14.458333333333334,15.125
145000.0,12.524792033626012,12.898661596649777,15.158333333333331,15.437500000000002
150000.0,12.451101305916252,12.867920636379967,14.75,15.239583333333334
155000.0,12.06560646518928,12.35713679292876,14.633333333333335,14.806250000000002
160000.0,11.738273577757157,12.200719767126165,14.358333333333334,15.008333333333335
165000.0,11.921524065408336,12.548655169370912,14.325,15.472916666666666
170000.0,11.418049499976089,11.964655255843105,13.908333333333333,14.604166666666666
175000.0,11.626710966845607,12.146741700025936,13.975000000000001,14.79375
180000.0,11.57782266240755,12.016571566951734,13.558333333333334,14.102083333333335
185000.0,11.87588185269155,12.459098498824384,14.116666666666667,15.166666666666668
190000.0,11.718013343756096,12.279365273497428,14.241666666666667,14.889583333333334
195000.0,11.88167057537543,12.370004897396928,14.558333333333334,15.25
0.0,190.35127036938317,190.21310990914537,86.95,87.40416666666667
5000.0,40.178163381240715,40.21250822381666,47.75833333333333,48.57083333333333
10000.0,30.676545020998823,30.926591749130587,40.88333333333333,41.9375
15000.0,24.67780191386761,25.111447153998157,29.15,30.179166666666667
20000.0,21.746357864734247,22.29893252490544,23.133333333333333,24.179166666666667
25000.0,19.265120905056047,19.876476917752484,19.008333333333333,20.227083333333333
30000.0,17.9884585856146,18.67756263159667,18.4,19.708333333333332
35000.0,16.666017674931037,17.427623601340148,17.95,19.047916666666666
40000.0,15.431045146273025,16.284703630012764,17.391666666666666,18.410416666666666
45000.0,15.104884995450368,15.741543322301476,16.675,17.549999999999997
50000.0,15.168276598333671,15.71045111228336,16.925,17.6125
55000.0,15.03621015360844,15.56124064829702,16.566666666666666,17.177083333333336
60000.0,14.28680247781232,14.80332701774586,16.333333333333332,17.191666666666666
65000.0,14.902193802428924,15.35184822158342,18.033333333333335,18.458333333333332
70000.0,14.171798926573908,14.684705517622337,16.483333333333334,17.079166666666666
75000.0,13.979473027395773,14.481827921532469,16.891666666666666,17.47083333333333
80000.0,13.95218399450305,14.386417294245495,16.783333333333335,17.08125
85000.0,13.50024819976365,13.956421186954115,15.608333333333333,16.427083333333332
90000.0,13.41199558732828,13.935610818727294,15.166666666666668,16.15625
95000.0,12.938025561175568,13.308788314454784,15.341666666666667,15.885416666666666
100000.0,12.54740528817615,13.03003780368314,15.0,15.99375
105000.0,12.826510343740722,13.272258561488389,15.375,15.952083333333334
110000.0,12.804513092358421,13.277694010978975,15.666666666666668,16.125
115000.0,12.936319797460188,13.375270458024776,15.641666666666667,16.375
120000.0,12.808629085303677,13.114889122003145,15.633333333333333,15.808333333333332
125000.0,12.528651125347784,13.072039108840366,15.308333333333332,15.85
130000.0,12.47847880888365,13.025091213170406,14.866666666666667,15.662499999999998
135000.0,12.240028431410295,12.786781508705868,14.891666666666667,15.354166666666666
140000.0,12.006709396191498,12.444373894200416,14.691666666666666,15.210416666666667
145000.0,12.081854223319139,12.452787396049334,15.166666666666668,15.34375
150000.0,12.19257716055166,12.59457576018646,14.549999999999999,15.208333333333332
155000.0,12.400099631630642,12.902187829559383,14.95,15.422916666666667
160000.0,11.992737499004162,12.419699709271363,14.541666666666666,15.260416666666668
165000.0,11.627860595415983,12.108854722475874,14.000000000000002,14.8125
170000.0,12.322234976718484,12.90346021609627,14.725,15.552083333333332
175000.0,12.282464473517955,12.873826094696058,14.666666666666666,15.454166666666666
180000.0,11.817188840626795,12.259224950520716,14.366666666666667,14.972916666666666
185000.0,11.682895208260295,12.084251667414508,14.366666666666667,14.789583333333333
190000.0,11.594058111688058,11.982684164730175,14.191666666666666,14.61875
195000.0,11.812316299074466,12.174413137264334,14.258333333333335,14.841666666666667
0.0,187.47987609699337,187.57166685915604,90.55,90.3875
5000.0,37.60380795203198,37.68291742191143,58.825,59.02708333333333
10000.0,27.683241309039026,28.045819495533518,30.90833333333333,32.954166666666666
15000.0,21.396957880419194,21.938155387874176,20.7,22.18958333333333
20000.0,18.276919534022344,18.94495224513512,18.158333333333335,19.354166666666668
25000.0,17.021659250965232,17.64234139571812,17.158333333333335,18.122916666666665
30000.0,16.154710476960652,16.779371925148737,17.625,18.566666666666666
35000.0,16.222653171999553,16.95699342763305,17.858333333333334,19.191666666666666
40000.0,14.966344646420628,15.660399420652125,16.175,17.214583333333334
45000.0,14.3355219780968,15.058304515027995,15.958333333333332,17.075000000000003
50000.0,14.59551809774567,15.247280360455914,16.608333333333334,17.4
55000.0,14.428781922585356,14.965950000288577,16.341666666666665,17.0875
60000.0,13.505116929146455,14.02112104880918,16.083333333333332,16.59375
65000.0,13.436777808629067,13.991859613433814,15.825,16.729166666666668
70000.0,13.760875099130734,14.364402846180695,16.125,17.01875
75000.0,13.418082547616834,14.037160121894221,15.641666666666667,16.620833333333334
80000.0,12.893210606546656,13.447769733647105,15.6,16.308333333333334
85000.0,13.246758609953325,13.737191995667446,15.708333333333332,16.435416666666665
90000.0,12.85761210008785,13.35220687448984,15.45,15.74375
95000.0,13.291366102017173,13.678868011679368,15.933333333333334,16.52916666666667
100000.0,12.871308545331958,13.416541526235243,15.174999999999999,16.025
105000.0,12.846946048640095,13.453441526813235,15.166666666666668,16.066666666666666
110000.0,12.839943234238163,13.287365699791248,15.266666666666667,15.864583333333334
115000.0,12.423461970501823,12.94134960146018,14.941666666666666,15.797916666666667
120000.0,12.147000302922335,12.556337926547567,14.566666666666666,15.020833333333334
125000.0,12.159781136658635,12.676964180854341,14.299999999999999,15.085416666666667
130000.0,12.056080296475036,12.384935917101233,14.933333333333335,15.104166666666666
135000.0,11.971300836026298,12.501696900980145,14.299999999999999,15.164583333333335
140000.0,11.718249375008721,12.0431810676899,14.458333333333334,14.71875
145000.0,11.866554917700741,12.175941226937956,14.633333333333335,14.956249999999999
150000.0,11.915817638982432,12.359208842834772,14.341666666666667,14.924999999999999
155000.0,12.329538495910294,12.731268909916032,15.041666666666668,15.38125
160000.0,11.500753787552826,11.926029764719303,13.758333333333333,14.535416666666666
165000.0,11.867053615803568,12.4089869353842,14.224999999999998,15.177083333333332
170000.0,11.57032280895407,11.982492543757054,14.325,14.554166666666667
175000.0,11.982480331519614,12.321329614962181,14.674999999999999,15.031249999999998
180000.0,11.70897023263543,12.19235557370939,14.191666666666666,14.947916666666666
185000.0,11.466606063780379,11.941189746006586,14.158333333333333,14.591666666666667
190000.0,11.702597097556861,12.123883258430736,14.391666666666666,15.0875
195000.0,11.50017370001504,11.96246670417712,14.241666666666667,14.702083333333333
0.0,197.37295123728177,197.46706702472872,85.475,85.60208333333334
5000.0,39.56554745677691,39.569836672005806,56.68333333333333,56.73541666666667
10000.0,29.712682932359424,30.007517159515835,37.425000000000004,38.264583333333334
15000.0,23.040525031253942,23.538901810108598,25.266666666666666,26.366666666666667
20000.0,20.232060930058765,20.85108816365391,20.166666666666664,21.391666666666666
25000.0,18.389596024394265,19.070797811856625,19.041666666666668,19.9625
30000.0,17.08743604509744,17.787395774689475,18.125,19.38958333333333
35000.0,16.72398442803933,17.374824970264537,17.833333333333336,19.15833333333333
40000.0,14.953528059886626,15.916027591541223,16.275000000000002,18.331249999999997
45000.0,15.166946588143915,15.83518287737328,17.066666666666666,17.829166666666666
50000.0,15.040036382955545,15.548378586206296,17.150000000000002,17.939583333333335
55000.0,13.760031545563026,14.34067627230187,15.808333333333332,16.62291666666667
60000.0,14.138167468844967,14.787394678421972,16.716666666666665,17.891666666666666
65000.0,13.299334545435562,13.927435404043505,15.583333333333332,16.647916666666667
70000.0,13.789531192311767,14.4421406311876,15.9,16.789583333333333
75000.0,13.53731252367609,14.048324739091333,15.933333333333334,16.48125
80000.0,13.037850245571148,13.601214169734973,15.516666666666667,16.31875
85000.0,13.0659485329357,13.522047615631367,15.241666666666667,15.818750000000001
90000.0,13.067732328070718,13.70881135230954,15.316666666666666,16.08125
95000.0,13.020312531329456,13.55364288745984,15.7,16.15833333333333
100000.0,12.686981900969974,13.221442017245275,15.291666666666668,15.958333333333332
105000.0,12.06761540536269,12.554834997271543,14.583333333333334,15.227083333333333
110000.0,12.01425401676947,12.570853262811612,14.7,15.258333333333333
115000.0,12.433162611811365,13.070572468243244,14.475,15.608333333333333
120000.0,12.389378699829486,12.942832696607034,15.216666666666667,15.772916666666667
125000.0,12.243794750875669,12.610707325816156,14.808333333333334,15.233333333333333
130000.0,12.477336086815438,13.006719580753575,15.125,15.947916666666668
135000.0,12.033672102154904,12.48051910753615,14.549999999999999,15.022916666666667
140000.0,11.85830206591341,12.422796428238387,14.341666666666667,15.202083333333333
145000.0,11.622111660301597,12.07499055601367,13.8,14.727083333333333
150000.0,12.038035046961456,12.453933442372414,14.658333333333335,15.075
155000.0,12.062993030242252,12.374743820459488,14.424999999999999,14.652083333333332
160000.0,11.348870073739208,11.867975705524545,13.641666666666666,14.352083333333333
165000.0,11.516568725990375,11.976421713122349,14.241666666666667,14.914583333333335
170000.0,11.667925479487602,12.220378727510127,14.299999999999999,15.110416666666667
175000.0,11.50660843002253,11.969476004867275,14.191666666666666,14.591666666666667
180000.0,11.677635086099148,12.055875613373011,14.291666666666666,14.789583333333333
185000.0,11.884301423095152,12.36932684172682,14.583333333333334,15.147916666666667
190000.0,11.398798760523398,11.723736852914751,14.083333333333334,14.497916666666665
